date,Explanation of comps +/- 2% ,explanation_of_sales_variance_plus_minus_2percent,CATERING SALES,TOTAL NET SALES (EXC CATERING),TOTAL NET SALES (INC CATERING),VARIANCE TO 2021,VARIANCE TO 2022,bar_covers,bar_sales,comp_percent,comps_excluding_employee_comps,dinner_covers,dinner_ppa,dinner_sales,labor_dollar,labor_percent,lunch_covers,lunch_ppa,lunch_sales,takeout_sales,total_covers,total_net_sales
2023-03-01,,"Busy Bar, Full Patio all evening",,,,,,,,,,,,,,,,,,,,
2023-03-02,,"Evening on 5th, Offsite $6k event  ",,,,,,,,,,,,,,,,,,,,
2023-03-03,,busy lunch / nice HH/ not too much walk-ins,,,,,,,,,,,,,,,,,,,,
2023-03-04,,Steady full restaurant for dinner,,,,,,,,,,,,,,,,,,,,
2023-03-05,,"Multiple large parties for Brunch, 20 top walk in for dinner",,,,,,,,,,,,,,,,,,,,
2023-03-13,,"Rainy evening, Ferrari event offsite",,,,,,,,,,,,,,,,,,,,
2023-03-14,,Lunch Food Tour + mild weather on patio. Comparable dinner to last night. Did about 100 less guests than last year for dinner,,,,,,,,,,,,,,,,,,,,
2023-03-15,,"Lunch event 30 Top, Cool weather this evening with a 23 Top event",,,,,,,,,,,,,,,,,,,,
2023-03-16,,Last food tour  event only 11ppl Pop around 7pm,,,,,,,,,,,,,,,,,,,,
2023-03-17,,"Steady Flow for dinner, nice weather",,,,,,,,,,,,,,,,,,,,
2023-03-18,,Decent Lunch boosted by Ferrari Catering,,,,,,,,,,,,,,,,,,,,
2023-03-19,,"Busy lunch considering dreary weather, Most of dinner inside due to light rain",,,,,,,,,,,,,,,,,,,,
2023-03-20,,Great lunch in addition to 20K catering event (reflected in PM sales) Cool weather made for a mild evening on the patio. ,,,,,,,,,,,,,,,,,,,,
2023-03-21,,"Dinner flowed steady,late reservaiton showed up at 9pm  with added off site catering. Warmer night",,,,,,,,,,,,,,,,,,,,
2023-03-22,,"Soft Lunch, Full patio for Dinner. Private event 20 top Gordon Food, nice bottle wine sales",,,,,,,,,,,,,,,,,,,,
2023-03-23,,"16 top for Lunch, Steady Dinner with plenty large parties all around",,,,,,,,,,,,,,,,,,,,
2023-03-24,,"Soft lunch and happy hour, steady dinner with large parties, warm day/night",,,,,,,,,,,,,,,,,,,,
2023-03-25,,Busy Lunch ART SHOW. Ferrari 20 top dinnner  and off property catering,,,,,,,,,,,,,,,,,,,,
2023-03-26,,"Steady lunch and dinner, late big party CXL",,,,,,,,,,,,,,,,,,,,
2023-03-27,,"Soft Lunch, Steady Dinner, Main dining room and patio full all evening",,,,,,,,,,,,,,,,,,,,
2023-03-28,,"Soft lunch, 15 top outside @ 6:30,  Dinner push at 7:30",,,,,,,,,,,,,,,,,,,,
2023-03-29,,"Quiet lunch, Steady dinner good wine sales",,,,,,,,,,,,,,,,,,,,
2023-03-30,,"Steady Lunch, Cloudy sky made the restaurant cozy inside",,,,,,,,,,,,,,,,,,,,
2023-03-31,,"53 top Wedding rehersal dinner, Full restaurant all evening",,,,,,,,,,,,,,,,,,,,
2023-04-01,,"Steady Lunch, Slow start to dinner peak at 7 pm Last year we had a abuy out",,,,,,,,,,,,,,,,,,,,
2023-04-02,,"More quiet Sunday brunch, steady dinner with Large party late evening",,,,,,,,,,,,,,,,,,,,
2023-04-03,,"Soft Lunch and Dinner, Nice wine sales from Mont and Rock",,,,,,,,,,,,,,,,,,,,
2023-04-04,,Marcello Wine Dinner,,,,,,,,,,,,,,,,,,,,
2023-04-05,,"Very warm quiet lunch, Dinner picked up around 7 pm",,,,,,,,,,,,,,,,,,,,
2023-04-06,,Strong rain from 5 to 8 pm. Good wine sales,,,,,,,,,,,,,,,,,,,,
2023-04-07,,"late rain about 9:15pm, steady full dinner",,,,,,,,,,,,,,,,,,,,
2023-04-08,,Soft lunch was expected as most come out tomorrow for Easter brunch. Strong and steady dinner. Busy through almost 9pm. 15K catering. ,,,,,,,,,,,,,,,,,,,,
2023-04-09,,"Successful Easter Sunday Jazzy Brunch, Softer evening",,,,,,,,,,,,,,,,,,,,
2023-04-10,,"First day of 3 course Lunch, Cloudy Stormy weahter most the evening.",,,,,,,,,,,,,,,,,,,,
2023-04-11,,Unstable weather kept most indoors for dinner tonight,,,,,,,,,,,,,,,,,,,,
2023-04-12,,"Rainy Lunch, weather shift for the better full patio by the end of the evening",,,,,,,,,,,,,,,,,,,,
2023-04-13,,"Very soft Lunch, Bar picked up at 3pm, a bit of rain around 7 pm",,,,,,,,,,,,,,,,,,,,
2023-04-14,,Great weather tonight! Steady dinner.  Windstar BOD 20 top at 6:15pm,,,,,,,,,,,,,,,,,,,,
2023-04-15,,"Soft Lunch, Steady dinner with over 300 covers",,,,,,,,,,,,,,,,,,,,
2023-04-16,,"Easter in 2022, with over 50 walk ins this evening. ",,,,,,,,,,,,,,,,,,,,
2023-04-17,,"Windy Weather, over 40 walk ins for dinner, great wine sales by the FOH team this evening",,,,,,,,,,,,,,,,,,,,
2023-04-18,Special Occasion and SO Alchol $182 Food Comp $207,"Beautiful less humid weather today, full patio for dinner",,,,,,,,,,,,,,,,,,,,
2023-04-19,,A full bar during the evening. Steady dinner  ,,,,,,,,,,,,,,,,,,,,
2023-04-20,,"Ferrari Dinner 40 top great success, full restaurant this evening.",,,,,,,,,,,,,,,,,,,,
2023-04-21,,Catering event sales. Full bar all day and night. Busy Patio tonight,,,,,,,,,,,,,,,,,,,,
2023-04-22,,"Soft Lunch, Busy Bar and full restaruant all evening, 2 large party events",,,,,,,,,,,,,,,,,,,,
2023-04-23,,"Full busy lunch, two large parties on patio",,,,,,,,,,,,,,,,,,,,
2023-04-24,,"Felt Season coming to a halt tonigt, lunch had a nice phase.",,,,,,,,,,,,,,,,,,,,
2023-04-25,,Offsite Catering tonight. Full Bar all night. Steady lunch & dinner. Two large parties about 7:30pm,,,,,,,,,,,,,,,,,,,,
2023-04-26,,"Steady HH, Marcellos Wine Dinner.",,,,,,,,,,,,,,,,,,,,
2023-04-27,,"Marcello Wine lunch 20ppl. Lunch was popping today, great walkin traffic, mild weather. ",,,,,,,,,,,,,,,,,,,,
2023-04-28,,"Steady lunch and Dinner, full patio by 6:00pm, Full bar thru night. Lucky-No rain",,,,,,,,,,,,,,,,,,,,
2023-04-29,,Wine Dinner Ferrari 10 top over 230 covers tonight,,,,,,,,,,,,,,,,,,,,
2023-04-30,,"Windy rainy weeather early am, Full patio brunch  by 1pm, full bar, No Jazz music due to weather, 14 top lunch @ 1:30pm",,,,,,,,,,,,,,,,,,,,
2023-05-01,,"Beautiful Weather, last hour pop in the patio",,,,,,,,,,,,,,,,,,,,
2023-05-02,,"Quiet Lunch. Marcello, 17 top Wine Dinner",,,,,,,,,,,,,,,,,,,,
2023-05-03,,"Steady Dinner, Great wine sales from Mont",,,,,,,,,,,,,,,,,,,,
2023-05-04,,"Steady lunch, Tour of France Marseille Well received",,,,,,,,,,,,,,,,,,,,
2023-05-05,,"Steady lunch and HH, wine sales later dinner",,,,,,,,,,,,,,,,,,,,
2023-05-06,,"Steady Lunch with a full bar-Kentucky Derby, nice dinner pop at 7pm",,,,,,,,,,,,,,,,,,,,
2023-05-07,,Up against Mother's Day last year. Full bar up until the very end. ,,,,,,,,,,,,,,,,,,,,
2023-05-08,,"Soft Lunch, Dinner had a nice phase slow down early",,,,,,,,,,,,,,,,,,,,
2023-05-09,,"Quiet lunch and bar, most dinner guests requested inside",,,,,,,,,,,,,,,,,,,,
2023-05-10,,Pop around 7pm many walkins,,,,,,,,,,,,,,,,,,,,
