date,Explanation of comps +/- 2% ,explanation_of_sales_variance_plus_minus_2percent,CATERING SALES,TOTAL NET SALES (EXC CATERING),TOTAL NET SALES (INC CATERING),VARIANCE TO 2021,VARIANCE TO 2022,bar_covers,bar_sales,comp_percent,comps_excluding_employee_comps,dinner_covers,dinner_ppa,dinner_sales,labor_dollar,labor_percent,lunch_covers,lunch_ppa,lunch_sales,takeout_sales,total_covers,total_net_sales
2023-08-17,,"Soft lunch, Diner was steady at the French and Rouge",,,,,,,,,,,,,,,,,,,,
2023-08-18,,"Nice Weather, over half our covers were  Walkins, Rouge fully booked",,,,,,,,,,,,,,,,,,,,
2023-08-19,,Exotics &Espressos at Ferrari.  Steady Lunch. Overcast weather but it never rained.  Robust Bar Guests tonight. Dinne filled between 6:30-7:30.,,,,,,,,,,,,,,,,,,,,
2023-08-20,,"Steady Lunch and Dinner pop around 7pm, many tourist tables from Europe and Miami.",,,,,,,,,,,,,,,,,,,,
2023-08-21,,Lunch and Dinner on Par with last year.  Good start to the week with a bustling HH.  Dinner picked up about 7:30pm ,,,,,,,,,,,,,,,,,,,,
2023-08-22,,"Steady bar for HH, early dinner, mostly patio sitting, Private event at Rouge, up agaist Opera night LY",,,,,,,,,,,,,,,,,,,,
2023-08-23,,"On par with yesterday's sales, Steady patio, Rouge with 18 covers",,,,,,,,,,,,,,,,,,,,
2023-08-24,,"HH event 15 top, Strong storm in the middle of Dinner, Steady Rouge.",,,,,,,,,,,,,,,,,,,,
2023-08-25,Many Special Occasion and Food Comps today,"Ladies Luncheon 15 top, Hopping HH with Steady dinner flow, many guests opted for patio seating, Rouge at Capacity",,,,,,,,,,,,,,,,,,,,
2023-08-26,,"Steady lunch but the bar was more busy with a nice HH and walk-ins for dinner, Rouge 26 covers,    off site catering for lunch",,,,,,,,,,,,,,,,,,,,
2023-08-27,,"Handful of walk ins for Lunch, Steady bar in the afternoon, Thunderstom in  the evening",,,,,,,,,,,,,,,,,,,,
2023-08-28,,very calm all day no walk-ins,,,,,,,,,,,,,,,,,,,,
2023-08-29,,Lunch 27 top canceled. Restaurant Closed @5pm due to Hurricane Idalia,,,,,,,,,,,,,,,,,,,,
2023-08-30,,"Lost power, was restored by 11am. All walkins for lunch. Lost power again by 5pm got it back by 9 pm",,,,,,,,,,,,,,,,,,,,
2023-08-31,,"Lost internet from 12:30-3:00pm, super soft lunch. Rouge Open",,,,,,,,,,,,,,,,,,,,
2023-09-01,,Very Quiet Lunch followed by a pop for HH at the bar from 5pm-6pm and a quiet dinner. Rouge Open,,,,,,,,,,,,,,,,,,,,
2023-09-02,,"Bustling HH With stong rain, Large Parties all evening, Rouge 100% full",,,,,,,,,,,,,,,,,,,,
2023-09-03,,"Steady Lunch and Dinner, Rouge open this evening to make up for Wedneday powr outage",,,,,,,,,,,,,,,,,,,,
2023-09-04,,"Very Quiet Labor Day, Bar was busy all day.  Lunch had a good flow of walk-ins. Walk-ins today were very few for dinner, no large parties. Last week we were getting ready for Hurricane",,,,,,,,,,,,,,,,,,,,
2023-09-05,,Rouge open for 2 top and 2k bottle of  Rothschild 2017 solf at the bar by Marcello ,,,,,,,,,,,,,,,,,,,,
2023-09-06,,"On par with yesterday, very quiet after Labor Day.  Rouge Open",,,,,,,,,,,,,,,,,,,,
2023-09-07,,"Soft Lunch, dinner had a pop by 7 pm, Rouge open tonight, with good wine sales.",,,,,,,,,,,,,,,,,,,,
2023-09-08,,"Soft Lunch, Busy HH at the bar, full restaurant by 8 pm including Rouge",,,,,,,,,,,,,,,,,,,,
2023-09-09,,"2k Bentley offsite Event, 5K Sales at Rouge, steady and Full restaurant by 7 pm",,,,,,,,,,,,,,,,,,,,
2023-09-10,,"Brunch and Dinner were both on par with sales and covers,  bit softer than expeted. ",,,,,,,,,,,,,,,,,,,,
2023-09-11,,"Catering sales Reflects previous 8 services for Bentley daily food as well as 6 days of food this week. Moving forward, will all be rang in weely, on Mondays for consistency. Lunch had a promising start but fizzled out within the first hour and a half. Soft Dinner mostly walksins enjoying 50% off wine bottles Monday",,,,,,,,,,,,,,,,,,,,
2023-09-12,,Steady day for both lunch and dinner with decent HH. Happy to see drastic improvement on PPA for dinner tonight. Nearly everyone ordered Sizzle menu and it reflect in the PA. Mild weather. Brief threatening thunderstorms. Never rained. ,,,,,,,,,,,,,,,,,,,,
2023-09-13,,"Lunch on par with past few days, dinner had a steady phase with Large parties at the end of the evening. Rouge Open today",,,,,,,,,,,,,,,,,,,,
2023-09-14,,"Marcello's Trade Lunch event, Steady HH, Evening on 5th, Decent wine sales at Rouge",,,,,,,,,,,,,,,,,,,,
2023-09-15,,"Steady Lunch with a HH busy from 4-5:30pm, 12 Top Ladies Birthday Happy Hour in Main DR.  8 Top came in late for Dinner.              Rouge Open",,,,,,,,,,,,,,,,,,,,
2023-09-16,,"Ferarri event this morning, Soft Lunch, Busy bar for HH, Restaurant filled up inside by 6:30 pm, Rouge Fully booked ",,,,,,,,,,,,,,,,,,,,
2023-09-17,,"Pop for lunch at 11:30, Bar was filled up at 2:30pm and stayed busy. Dinner was Steady with over 30 walkin covers",,,,,,,,,,,,,,,,,,,,
2023-09-18,,"Great wine sales all day today by the entire team even with an extremely slow Monday lunch. Steady dinner flow with a great push at 7pm, nice weather",,,,,,,,,,,,,,,,,,,,
2023-09-19,,"Ferrari Luncheon, Negroni Week, Soft Lunch and Dinner",,,,,,,,,,,,,,,,,,,,
2023-09-20,,"Threatening weather all day, Very quiet Lunch, Bar full at 3pm. Private Rouge Buy out",,,,,,,,,,,,,,,,,,,,
2023-09-21,,"Quiet Lunch, dinner pop at 7 pm, Rouge open this evening",,,,,,,,,,,,,,,,,,,,
2023-09-22,,"Full Bar, Steady dinner with a pop at 7pm and 7:30pm Main DR and Patio full tonight, Doubled our covers tonight with walkins. Rouge open",,,,,,,,,,,,,,,,,,,,
2023-09-23,,"Started the night with 130. Large push between 6/7, beautiful weather, many guests wanted outside",,,,,,,,,,,,,,,,,,,,
2023-09-24,,"Steady Sunday Brunch, Bar busy all morning and HH, Dinner picked up a bit with over 50% walkins",,,,,,,,,,,,,,,,,,,,
2023-09-25,,On par lunch for a Monday for sales and covers. HH was not very robust. Dinner was soft and it threatened to rain almost all night. Finally had a downpour later in the evening. ,,,,,,,,,,,,,,,,,,,,
2023-09-26,,Overcast all day. Wine Trade Lunch followed by sold out wine dinner. Hurricane Ian last year. Closed for entire week. Will not be mentioning every night in the notes. ,,,,,,,,,,,,,,,,,,,,
2023-09-27,,"Last Day of Sizzle Week, Rouge was open, decent Dinner PPA",,,,,,,,,,,,,,,,,,,,
2023-09-28,,"Mostly walkins for Lunch, busy HH at the bar, late start to dinner, Rouge open.",,,,,,,,,,,,,,,,,,,,
2023-09-29,,"Dinner started soft and ended on a high note, great wine sales from FOH",,,,,,,,,,,,,,,,,,,,
2023-09-30,,"Rainy lunch and dinner. Rouge open, rang sales for tomorrow's catering event as well to get it in the week. ",,,,,,,,,,,,,,,,,,,,
2023-10-01,,"Steady Sunday Brunch with couple of large parties, Rainy evening, with half our covers in walkins",,,,,,,,,,,,,,,,,,,,
2023-10-02,,Last full day closure due to Ian PY. Typical Monday lunch with a busier night than last week. Catering sales for both NLI Café as well as Ferrari PuroSangue test drive event. ,,,,,,,,,,,,,,,,,,,,
2023-10-03,training food 164$,Adverse weather conditions (terrible air quality) kept people in for lunch. ,,,,,,,,,,,,,,,,,,,,
2023-10-04,,Wine dinner 7K         Rouge 2K,,,,,,,,,,,,,,,,,,,,
2023-10-05,,Slow start to dinner service picked around 715pm. Rouge open ,,,,,,,,,,,,,,,,,,,,
2023-10-06,,Diners started off strong with large parties and full bar.,,,,,,,,,,,,,,,,,,,,
2023-10-07,,Bustling Patio a full Rouge with special 7 top ,,,,,,,,,,,,,,,,,,,,
2023-10-08,,Up against first jazz brunch from LY. 20 top private event today during lunch.,,,,,,,,,,,,,,,,,,,,
2023-10-09,,Closed due to flooding.,,,,,,,,,,,,,,,,,,,,
2023-10-10,TRAINING FOOD AND SPECIAL OCCASION FOOD,REOPENED ON TIME FOR LUNCH WITH MOSTLY WALKINS FOR LUNCH AND DINNER,,,,,,,,,,,,,,,,,,,,
2023-10-11,SPECIAL OCCASION FOOD,"Lunch was better than yesterday, late afternoon showers likey led to soft dinner sales. Rouge open.",,,,,,,,,,,,,,,,,,,,
2023-10-12,,multiple catering. Lunch on par. Late pop on dinner with humid breezy night. Soft HH. ,,,,,,,,,,,,,,,,,,,,
2023-10-13, ,Lunch consistent rain killed the HH but the bar had a nice crowd during all night not too much walk ins ,,,,,,,,,,,,,,,,,,,,
2023-10-14,,Best lunch of the week/ HH was busy/ Nice ambiance and affluence at the bar/ Dinner up and down reservations overall it was a good night,,,,,,,,,,,,,,,,,,,,
2023-10-15,Special occasion      ,"First jazz brunch of the season. Strong start, fizzled quickly. Decent HH, soft dinner. Mild weather. ",,,,,,,,,,,,,,,,,,,,
2023-10-16,,First mild day. Lunch identical to Monday (10/2) More robust dinner due to weather. ,,,,,,,,,,,,,,,,,,,,
2023-10-17,,Lunch and Rouge was stars today,,,,,,,,,,,,,,,,,,,,
2023-10-18,,Steady HH full Patio by 7:30 PM Rouge open this evening,,,,,,,,,,,,,,,,,,,,
2023-10-19,,"2 offsite event tonight, Soft Dinner push at 7 pm",,,,,,,,,,,,,,,,,,,,
2023-10-20,,Mostly walk-ins for lunch and dinner. Full bar most of evening. Rouge open.,,,,,,,,,,,,,,,,,,,,
2023-10-21,,"Offsite Ferarri event, Steady dinner with large parties in the patio. Rouge 32 covers",,,,,,,,,,,,,,,,,,,,
2023-10-22,,"Beautiful Sunday Jazz Brunch, steayd dinner in patio, Rouge/Port Royal Club 11 covers",,,,,,,,,,,,,,,,,,,,
2023-10-23,,"Busy bar HH, Steady dinner Full patio. Rouge Port Royal 14 top at Rouge",,,,,,,,,,,,,,,,,,,,
2023-10-24,,"Dinner slow start and busy last 2 hours, Rouge Port Royal with 15 covers",,,,,,,,,,,,,,,,,,,,
2023-10-25,Training and special occasion,Steady lunch like the last two days HH was slow with a busy time at 5pm   patio dinner was full… Rouge 8 covers,,,,,,,,,,,,,,,,,,,,
2023-10-26,,"40 top HH Steady Dinner full Patio, Rouge Open 8 covers",,,,,,,,,,,,,,,,,,,,
2023-10-27,,Bar full for HH. Patio full for dinner service. 5k 22 top for wedding rehersal dinner at 6pm. Rouge 21 covers,,,,,,,,,,,,,,,,,,,,
2023-10-28,,"Halloween event on 5th, Full patio and Bar for Dinner all evening, Rouge 23 covers",,,,,,,,,,,,,,,,,,,,
2023-10-29,,"Jazz Brunch steady with a push start at 11:30 am, Soft Dinner Rouge was open for Port Royal.",,,,,,,,,,,,,,,,,,,,
2023-10-30,Special occasion and training food,Catering saved the day… lunch and dinner quiet,,,,,,,,,,,,,,,,,,,,
2023-10-31,,"Large parties including 17 top, patio full, Rouge with 12 covers",,,,,,,,,,,,,,,,,,,,
2023-11-01,,"Soft Lunch, Steady Dinner with good wine sales Rouge with 14 covers",,,,,,,,,,,,,,,,,,,,
2023-11-02,,"Full Patio this evening, Rouge 14 covers",,,,,,,,,,,,,,,,,,,,
2023-11-03,,Rouge open. PM buyout. ,,,,,,,,,,,,,,,,,,,,
2023-11-04,,"Steady Lunch, early pop for dinner full restaurnat, Rouge 16 covers",,,,,,,,,,,,,,,,,,,,
2023-11-05,,"Sunday Brunch started with  Rush and stayed busy, Dinner busy in patio Rouge 1 port royal cover",,,,,,,,,,,,,,,,,,,,
2022-01-02,,,,,,,,,,,,,,,,,,,,,,26807.25
2022-01-03,,,,,,,,,,,,,,,,,,,,,,23007.61
2022-01-04,,,,,,,,,,,,,,,,,,,,,,20800.77
2022-01-05,,,,,,,,,,,,,,,,,,,,,,24111.51
2022-01-06,,,,,,,,,,,,,,,,,,,,,,31718.13
2022-01-07,,,,,,,,,,,,,,,,,,,,,,35898.52
2022-01-08,,,,,,,,,,,,,,,,,,,,,,25326.25
2022-01-09,,,,,,,,,,,,,,,,,,,,,,13335.25
2022-01-10,,,,,,,,,,,,,,,,,,,,,,17690.51
2022-01-11,,,,,,,,,,,,,,,,,,,,,,19132.91
2022-01-12,,,,,,,,,,,,,,,,,,,,,,23116.75
2022-01-13,,,,,,,,,,,,,,,,,,,,,,29969.02
2022-01-14,,,,,,,,,,,,,,,,,,,,,,36298.76
2022-01-15,,,,,,,,,,,,,,,,,,,,,,22492.5
2022-01-16,,,,,,,,,,,,,,,,,,,,,,20985.05
2022-01-17,,,,,,,,,,,,,,,,,,,,,,22491.86
2022-01-18,,,,,,,,,,,,,,,,,,,,,,20004.13
2022-01-19,,,,,,,,,,,,,,,,,,,,,,22716.5
2022-01-20,,,,,,,,,,,,,,,,,,,,,,33099.75
2022-01-21,,,,,,,,,,,,,,,,,,,,,,35195.25
2022-01-22,,,,,,,,,,,,,,,,,,,,,,29342.0
2022-01-23,,,,,,,,,,,,,,,,,,,,,,20703.25
2022-01-24,,,,,,,,,,,,,,,,,,,,,,21253.75
2022-01-25,,,,,,,,,,,,,,,,,,,,,,21334.08
2022-01-26,,,,,,,,,,,,,,,,,,,,,,29199.06
2022-01-27,,,,,,,,,,,,,,,,,,,,,,39116.8
2022-01-28,,,,,,,,,,,,,,,,,,,,,,40448.51
2022-01-29,,,,,,,,,,,,,,,,,,,,,,26835.0
2022-01-30,,,,,,,,,,,,,,,,,,,,,,20023.5
2022-01-31,,,,,,,,,,,,,,,,,,,,,,19631.2
2022-02-01,,,,,,,,,,,,,,,,,,,,,,22460.48
2022-02-02,,,,,,,,,,,,,,,,,,,,,,24610.76
2022-02-03,,,,,,,,,,,,,,,,,,,,,,35947.5
2022-02-04,,,,,,,,,,,,,,,,,,,,,,57251.91
2022-02-05,,,,,,,,,,,,,,,,,,,,,,31310.25
2022-02-06,,,,,,,,,,,,,,,,,,,,,,25388.23
2022-02-07,,,,,,,,,,,,,,,,,,,,,,30879.0
2022-02-08,,,,,,,,,,,,,,,,,,,,,,24869.81
2022-02-09,,,,,,,,,,,,,,,,,,,,,,34097.61
2022-02-10,,,,,,,,,,,,,,,,,,,,,,35386.5
2022-02-11,,,,,,,,,,,,,,,,,,,,,,43256.75
2022-02-12,,,,,,,,,,,,,,,,,,,,,,23495.3
2022-02-13,,,,,,,,,,,,,,,,,,,,,,60635.5
2022-02-14,,,,,,,,,,,,,,,,,,,,,,27691.82
2022-02-15,,,,,,,,,,,,,,,,,,,,,,28293.1
2022-02-16,,,,,,,,,,,,,,,,,,,,,,30958.0
2022-02-17,,,,,,,,,,,,,,,,,,,,,,36936.38
2022-02-18,,,,,,,,,,,,,,,,,,,,,,49003.4
2022-02-19,,,,,,,,,,,,,,,,,,,,,,35187.0
2022-02-20,,,,,,,,,,,,,,,,,,,,,,33971.25
2022-02-21,,,,,,,,,,,,,,,,,,,,,,30969.2
2022-02-22,,,,,,,,,,,,,,,,,,,,,,33306.5
2022-02-23,,,,,,,,,,,,,,,,,,,,,,38556.09
2022-02-24,,,,,,,,,,,,,,,,,,,,,,37213.65
2022-02-25,,,,,,,,,,,,,,,,,,,,,,42103.2
2022-02-26,,,,,,,,,,,,,,,,,,,,,,29955.33
2022-02-27,,,,,,,,,,,,,,,,,,,,,,26449.5
2022-02-28,,,,,,,,,,,,,,,,,,,,,,27411.6
2022-03-01,,,,,,,,,,,,,,,,,,,,,,25807.67
2022-03-02,,,,,,,,,,,,,,,,,,,,,,36591.46
2022-03-03,,,,,,,,,,,,,,,,,,,,,,42686.46
2022-03-04,,,,,,,,,,,,,,,,,,,,,,41374.0
2022-03-05,,,,,,,,,,,,,,,,,,,,,,35551.25
2022-03-13,,,,,,,,,,,,,,,,,,,,,,24989.17
2022-03-14,,,,,,,,,,,,,,,,,,,,,,30637.5
2022-03-15,,,,,,,,,,,,,,,,,,,,,,29336.51
2022-03-16,,,,,,,,,,,,,,,,,,,,,,26210.0
2022-03-17,,,,,,,,,,,,,,,,,,,,,,36054.3
2022-03-18,,,,,,,,,,,,,,,,,,,,,,46984.75
2022-03-19,,,,,,,,,,,,,,,,,,,,,,36739.5
2022-03-20,,,,,,,,,,,,,,,,,,,,,,29334.7
2022-03-21,,,,,,,,,,,,,,,,,,,,,,22703.59
2022-03-22,,,,,,,,,,,,,,,,,,,,,,28880.25
2022-03-23,,,,,,,,,,,,,,,,,,,,,,32132.71
2022-03-24,,,,,,,,,,,,,,,,,,,,,,37334.75
2022-03-25,,,,,,,,,,,,,,,,,,,,,,46959.77
2022-03-26,,,,,,,,,,,,,,,,,,,,,,31763.25
2022-03-27,,,,,,,,,,,,,,,,,,,,,,27145.5
2022-03-28,,,,,,,,,,,,,,,,,,,,,,31237.28
2022-03-29,,,,,,,,,,,,,,,,,,,,,,21932.5
2022-03-30,,,,,,,,,,,,,,,,,,,,,,25150.25
2022-03-31,,,,,,,,,,,,,,,,,,,,,,32346.01
2022-04-01,,,,,,,,,,,,,,,,,,,,,,39262.5
2022-04-02,,,,,,,,,,,,,,,,,,,,,,28819.1
2022-04-03,,,,,,,,,,,,,,,,,,,,,,21776.08
2022-04-04,,,,,,,,,,,,,,,,,,,,,,20304.61
2022-04-05,,,,,,,,,,,,,,,,,,,,,,19254.03
2022-04-06,,,,,,,,,,,,,,,,,,,,,,23353.5
2022-04-07,,,,,,,,,,,,,,,,,,,,,,34004.13
2022-04-08,,,,,,,,,,,,,,,,,,,,,,41017.5
2022-04-09,,,,,,,,,,,,,,,,,,,,,,27286.0
2022-04-10,,,,,,,,,,,,,,,,,,,,,,18773.75
2022-04-11,,,,,,,,,,,,,,,,,,,,,,22154.11
2022-04-12,,,,,,,,,,,,,,,,,,,,,,20328.2
2022-04-13,,,,,,,,,,,,,,,,,,,,,,25038.5
2022-04-14,,,,,,,,,,,,,,,,,,,,,,39430.15
2022-04-15,,,,,,,,,,,,,,,,,,,,,,39120.26
2022-04-16,,,,,,,,,,,,,,,,,,,,,,34396.5
2022-04-17,,,,,,,,,,,,,,,,,,,,,,21786.25
2022-04-18,,,,,,,,,,,,,,,,,,,,,,22306.13
2022-04-19,,,,,,,,,,,,,,,,,,,,,,21956.14
2022-04-20,,,,,,,,,,,,,,,,,,,,,,20405.5
2022-04-21,,,,,,,,,,,,,,,,,,,,,,35838.25
2022-04-22,,,,,,,,,,,,,,,,,,,,,,31121.12
2022-04-23,,,,,,,,,,,,,,,,,,,,,,27357.0
2022-04-24,,,,,,,,,,,,,,,,,,,,,,18723.52
2022-04-25,,,,,,,,,,,,,,,,,,,,,,16585.51
2022-04-26,,,,,,,,,,,,,,,,,,,,,,18231.0
2022-04-27,,,,,,,,,,,,,,,,,,,,,,18297.1
2022-04-28,,,,,,,,,,,,,,,,,,,,,,22451.0
2022-04-29,,,,,,,,,,,,,,,,,,,,,,24686.0
2022-04-30,,,,,,,,,,,,,,,,,,,,,,22586.5
2022-05-01,,,,,,,,,,,,,,,,,,,,,,10726.85
2022-05-02,,,,,,,,,,,,,,,,,,,,,,13296.75
2022-05-03,,,,,,,,,,,,,,,,,,,,,,11584.25
2022-05-04,,,,,,,,,,,,,,,,,,,,,,13870.0
2022-05-05,,,,,,,,,,,,,,,,,,,,,,22461.75
2022-05-06,,,,,,,,,,,,,,,,,,,,,,22360.25
2022-05-07,,,,,,,,,,,,,,,,,,,,,,37328.5
2022-05-08,,,,,,,,,,,,,,,,,,,,,,13735.0
2022-05-09,,,,,,,,,,,,,,,,,,,,,,11287.8
2022-05-10,,,,,,,,,,,,,,,,,,,,,,10054.44
2022-05-11,,,,,,,,,,,,,,,,,,,,,,9853.75
2022-05-12,,,,,,,,,,,,,,,,,,,,,,19115.45
2022-05-13,,,,,,,,,,,,,,,,,,,,,,22495.48
2022-05-14,,,,,,,,,,,,,,,,,,,,,,20222.17
2022-05-15,,,,,,,,,,,,,,,,,,,,,,10367.5
2022-05-16,,,,,,,,,,,,,,,,,,,,,,11083.13
2022-05-17,,,,,,,,,,,,,,,,,,,,,,9725.25
2022-05-18,,,,,,,,,,,,,,,,,,,,,,9654.77
2022-05-19,,,,,,,,,,,,,,,,,,,,,,15829.7
2022-05-20,,,,,,,,,,,,,,,,,,,,,,24527.5
2022-05-21,,,,,,,,,,,,,,,,,,,,,,17695.75
2022-05-22,,,,,,,,,,,,,,,,,,,,,,8513.75
2022-05-23,,,,,,,,,,,,,,,,,,,,,,16478.51
2022-05-24,,,,,,,,,,,,,,,,,,,,,,9189.25
2022-05-25,,,,,,,,,,,,,,,,,,,,,,12010.75
2022-05-26,,,,,,,,,,,,,,,,,,,,,,20947.0
2022-05-27,,,,,,,,,,,,,,,,,,,,,,28747.5
2022-05-28,,,,,,,,,,,,,,,,,,,,,,24417.6
2022-05-29,,,,,,,,,,,,,,,,,,,,,,13875.25
2022-05-30,,,,,,,,,,,,,,,,,,,,,,7542.41
2022-05-31,,,,,,,,,,,,,,,,,,,,,,8263.5
2022-06-01,,,,,,,,,,,,,,,,,,,,,,9804.75
2022-06-02,,,,,,,,,,,,,,,,,,,,,,6263.3
2022-06-03,,,,,,,,,,,,,,,,,,,,,,17857.5
2022-06-04,,,,,,,,,,,,,,,,,,,,,,10791.25
2022-06-05,,,,,,,,,,,,,,,,,,,,,,8991.75
2022-06-06,,,,,,,,,,,,,,,,,,,,,,5754.75
2022-06-07,,,,,,,,,,,,,,,,,,,,,,7177.01
2022-06-08,,,,,,,,,,,,,,,,,,,,,,10495.29
2022-06-09,,,,,,,,,,,,,,,,,,,,,,11989.75
2022-06-10,,,,,,,,,,,,,,,,,,,,,,14904.51
2022-06-11,,,,,,,,,,,,,,,,,,,,,,14947.02
2022-06-12,,,,,,,,,,,,,,,,,,,,,,5883.25
2022-06-13,,,,,,,,,,,,,,,,,,,,,,8679.0
2022-06-14,,,,,,,,,,,,,,,,,,,,,,9052.9
2022-06-15,,,,,,,,,,,,,,,,,,,,,,9991.01
2022-06-16,,,,,,,,,,,,,,,,,,,,,,10044.75
2022-06-17,,,,,,,,,,,,,,,,,,,,,,13357.5
2022-06-18,,,,,,,,,,,,,,,,,,,,,,17703.5
2022-06-19,,,,,,,,,,,,,,,,,,,,,,8466.9
2022-06-20,,,,,,,,,,,,,,,,,,,,,,8563.25
2022-06-21,,,,,,,,,,,,,,,,,,,,,,21976.51
2022-06-22,,,,,,,,,,,,,,,,,,,,,,6375.0
2022-06-23,,,,,,,,,,,,,,,,,,,,,,12847.0
2022-06-24,,,,,,,,,,,,,,,,,,,,,,15394.26
2022-06-25,,,,,,,,,,,,,,,,,,,,,,12341.5
2022-06-26,,,,,,,,,,,,,,,,,,,,,,9187.15
2022-06-27,,,,,,,,,,,,,,,,,,,,,,8572.75
2022-06-28,,,,,,,,,,,,,,,,,,,,,,7439.0
2022-06-29,,,,,,,,,,,,,,,,,,,,,,6632.05
2022-06-30,,,,,,,,,,,,,,,,,,,,,,12362.9
2022-07-01,,,,,,,,,,,,,,,,,,,,,,16747.75
2022-07-02,,,,,,,,,,,,,,,,,,,,,,16520.0
2022-07-03,,,,,,,,,,,,,,,,,,,,,,17300.05
2022-07-04,,,,,,,,,,,,,,,,,,,,,,5943.0
2022-07-05,,,,,,,,,,,,,,,,,,,,,,6575.1
2022-07-06,,,,,,,,,,,,,,,,,,,,,,9625.75
2022-07-07,,,,,,,,,,,,,,,,,,,,,,14254.17
2022-07-08,,,,,,,,,,,,,,,,,,,,,,17351.0
2022-07-09,,,,,,,,,,,,,,,,,,,,,,10127.26
2022-07-10,,,,,,,,,,,,,,,,,,,,,,6553.5
2022-07-11,,,,,,,,,,,,,,,,,,,,,,8283.52
2022-07-12,,,,,,,,,,,,,,,,,,,,,,6762.5
2022-07-13,,,,,,,,,,,,,,,,,,,,,,18149.5
2022-07-14,,,,,,,,,,,,,,,,,,,,,,13202.35
2022-07-15,,,,,,,,,,,,,,,,,,,,,,13055.0
2022-07-16,,,,,,,,,,,,,,,,,,,,,,12771.0
2022-07-17,,,,,,,,,,,,,,,,,,,,,,5105.0
2022-07-18,,,,,,,,,,,,,,,,,,,,,,7136.5
2022-07-19,,,,,,,,,,,,,,,,,,,,,,7360.3
2022-07-20,,,,,,,,,,,,,,,,,,,,,,10834.75
2022-07-21,,,,,,,,,,,,,,,,,,,,,,10329.25
2022-07-22,,,,,,,,,,,,,,,,,,,,,,10560.63
2022-07-23,,,,,,,,,,,,,,,,,,,,,,10481.0
2022-07-24,,,,,,,,,,,,,,,,,,,,,,6519.01
2022-07-25,,,,,,,,,,,,,,,,,,,,,,6926.25
2022-07-26,,,,,,,,,,,,,,,,,,,,,,9710.5
2022-07-27,,,,,,,,,,,,,,,,,,,,,,8447.25
2022-07-28,,,,,,,,,,,,,,,,,,,,,,12381.5
2022-07-29,,,,,,,,,,,,,,,,,,,,,,14891.52
2022-07-30,,,,,,,,,,,,,,,,,,,,,,10214.25
2022-07-31,,,,,,,,,,,,,,,,,,,,,,4430.25
2022-08-01,,,,,,,,,,,,,,,,,,,,,,5296.74
2022-08-02,,,,,,,,,,,,,,,,,,,,,,8666.75
2022-08-03,,,,,,,,,,,,,,,,,,,,,,9255.75
2022-08-04,,,,,,,,,,,,,,,,,,,,,,11451.0
2022-08-05,,,,,,,,,,,,,,,,,,,,,,17098.75
2022-08-06,,,,,,,,,,,,,,,,,,,,,,12567.45
2022-08-07,,,,,,,,,,,,,,,,,,,,,,5076.08
2022-08-08,,,,,,,,,,,,,,,,,,,,,,1754.5
2022-08-09,,,,,,,,,,,,,,,,,,,,,,8756.75
2022-08-10,,,,,,,,,,,,,,,,,,,,,,10905.0
2022-08-11,,,,,,,,,,,,,,,,,,,,,,11101.25
2022-08-12,,,,,,,,,,,,,,,,,,,,,,14456.0
2022-08-13,,,,,,,,,,,,,,,,,,,,,,9759.0
2022-08-14,,,,,,,,,,,,,,,,,,,,,,6938.0
2022-08-15,,,,,,,,,,,,,,,,,,,,,,8052.75
2022-08-16,,,,,,,,,,,,,,,,,,,,,,6757.0
2022-08-17,,,,,,,,,,,,,,,,,,,,,,7748.0
2022-08-18,,,,,,,,,,,,,,,,,,,,,,10633.35
2022-08-19,,,,,,,,,,,,,,,,,,,,,,11707.0
2022-08-20,,,,,,,,,,,,,,,,,,,,,,10772.75
2022-08-21,,,,,,,,,,,,,,,,,,,,,,4889.5
2022-08-22,,,,,,,,,,,,,,,,,,,,,,15497.75
2022-08-23,,,,,,,,,,,,,,,,,,,,,,7831.0
2022-08-24,,,,,,,,,,,,,,,,,,,,,,7328.9
2022-08-25,,,,,,,,,,,,,,,,,,,,,,10755.75
2022-08-26,,,,,,,,,,,,,,,,,,,,,,13379.21
2022-08-27,,,,,,,,,,,,,,,,,,,,,,9339.95
2022-08-28,,,,,,,,,,,,,,,,,,,,,,5267.5
2022-08-29,,,,,,,,,,,,,,,,,,,,,,6180.5
2022-08-30,,,,,,,,,,,,,,,,,,,,,,6199.25
2022-08-31,,,,,,,,,,,,,,,,,,,,,,8378.25
2022-09-01,,,,,,,,,,,,,,,,,,,,,,13366.26
2022-09-02,,,,,,,,,,,,,,,,,,,,,,17152.74
2022-09-03,,,,,,,,,,,,,,,,,,,,,,17424.75
2022-09-04,,,,,,,,,,,,,,,,,,,,,,11904.0
2022-09-05,,,,,,,,,,,,,,,,,,,,,,4377.5
2022-09-06,,,,,,,,,,,,,,,,,,,,,,4740.29
2022-09-07,,,,,,,,,,,,,,,,,,,,,,8009.55
2022-09-08,,,,,,,,,,,,,,,,,,,,,,10371.25
2022-09-09,,,,,,,,,,,,,,,,,,,,,,18129.3
2022-09-10,,,,,,,,,,,,,,,,,,,,,,10240.75
2022-09-11,,,,,,,,,,,,,,,,,,,,,,6646.0
2022-09-12,,,,,,,,,,,,,,,,,,,,,,5964.25
2022-09-13,,,,,,,,,,,,,,,,,,,,,,7497.75
